Protein_ID,Drug_ID,Binding_Affinity,Interaction_Score,Hydrophobicity_Index,Molecular_Weight,Toxicity_Potential,LogP,pH_Stability,Target_Specificity,ADR_Predicted,Charge_At_pH7,Half_Life_Hours,Bioavailability,Solubility,Metabolism_Rate,Plasma_Protein_Binding
P03099,D0657,0.334,0.449,0.528,293.39,0.722,1.02,6.8,0.816,0,-0.18,44.7,0.459,-0.08,1.03,0.071
P02359,D0319,0.715,0.636,0.302,607.29,0.563,6.2,6.71,0.346,0,-1.53,43.8,0.041,-8.62,1.55,0.421
P04349,D0874,0.301,0.688,-0.001,276.58,0.514,5.9,8.37,0.414,0,-1.77,68.6,0.26,-2.11,4.19,0.718
P02653,D0245,0.669,0.461,0.322,837.87,0.447,3.29,5.76,0.016,0,0.56,39.4,0.54,0.35,4.05,0.44
P02400,D0851,0.711,0.258,-0.054,684.97,0.553,5.99,4.87,0.755,0,0.01,33.9,0.091,0.11,1.52,0.47
P03230,D0362,0.905,0.87,-0.321,666.17,0.202,2.37,5.1,0.177,1,1.09,24.8,0.954,-7.82,0.85,0.869
P04334,D0641,0.46,0.365,0.243,485.42,0.396,-1.97,8.18,0.181,0,1.31,15.5,0.286,-4.39,2.11,0.388
P01122,D0157,0.49,0.56,-0.962,735.25,0.551,4.4,6.49,0.056,0,-1.67,21.1,0.692,-0.15,0.63,0.979
P09008,D0636,0.069,0.608,-0.814,290.58,0.734,3.43,6.06,0.625,0,-0.72,69.2,0.909,-0.89,3.89,0.713
P00203,D0595,0.176,0.463,-0.634,482.55,0.786,3.8,7.47,0.293,0,-0.3,69.3,0.112,-2.69,0.53,0.78
P06779,D0736,0.252,0.379,0.958,895.37,0.862,-2.59,6.3,0.254,0,-0.17,14.2,0.285,-5.3,1.58,0.163
P01646,D0439,0.932,0.338,-0.427,365.07,0.35,-1.98,8.99,0.325,0,-1.9,5.4,0.872,-2.59,4.42,0.633
P07398,D0832,0.641,0.624,0.0,453.85,0.59,6.98,6.13,0.567,0,-0.37,22.0,0.025,-6.23,1.14,0.23
P04949,D0711,0.902,0.242,0.14,315.25,0.537,4.67,5.86,0.952,0,-0.57,55.5,0.286,-2.42,1.89,0.212
P03910,D0410,0.312,0.513,-0.974,206.87,0.402,1.68,8.46,0.903,0,-1.8,28.3,0.643,-1.82,3.12,0.911
P00876,D0177,0.33,0.486,-0.847,452.63,0.336,3.7,4.61,0.027,0,-1.13,22.2,0.062,-9.91,0.74,0.221
P08897,D0815,0.499,0.56,-0.688,258.95,0.01,5.33,4.38,0.304,0,0.7,27.4,0.121,-2.13,4.17,0.672
P02215,D0287,0.66,0.467,-0.564,533.73,0.177,6.1,6.35,0.391,0,-0.66,16.3,0.426,-7.66,4.47,0.16
P08383,D0223,0.147,0.62,-0.855,714.52,0.137,5.59,8.95,0.006,0,1.21,45.6,0.16,-5.9,3.96,0.996
P02071,D0533,0.173,0.498,0.301,786.1,0.3,2.44,5.79,0.935,0,-1.11,42.5,0.315,-5.23,3.13,0.065
P00974,D0699,0.803,0.48,-0.761,276.01,0.36,6.11,7.47,0.488,0,0.03,26.0,0.449,0.85,3.48,0.271
P08892,D0810,0.863,0.269,0.79,826.23,0.28,4.89,6.44,0.58,0,1.27,35.1,0.2,-9.95,4.66,0.818
P08247,D0219,0.007,0.545,0.006,419.61,0.793,-2.26,7.57,0.176,0,-0.06,1.2,0.534,-1.48,4.05,0.716
P00142,D0217,0.71,0.565,-0.626,485.91,0.198,-1.97,5.71,0.33,0,2.0,38.5,0.369,-0.48,4.63,0.876
P08007,D0756,0.358,0.502,-0.537,586.86,0.263,4.33,8.51,0.736,0,0.15,60.3,0.147,-7.34,4.67,0.635
P00717,D0370,0.343,0.554,0.294,261.77,0.503,5.51,4.48,0.009,0,-1.2,10.8,0.532,-7.23,2.95,0.63
P04856,D0119,0.557,0.439,-0.774,781.22,0.284,1.43,8.03,0.15,0,0.95,67.6,0.045,-0.64,1.12,0.533
P01275,D0344,0.755,0.188,-0.91,742.0,0.896,4.64,4.4,0.042,1,0.41,38.1,0.944,-2.92,1.46,0.457
P00696,D0491,0.928,0.445,0.599,504.69,0.612,4.46,8.95,0.444,1,0.5,60.8,0.751,-0.18,4.71,0.397
P07068,D0081,0.011,0.394,-0.016,388.19,0.337,1.73,4.97,0.177,0,-0.59,21.7,0.452,-4.38,3.53,0.701
P00102,D0234,0.266,0.541,0.7,522.71,0.452,1.04,5.91,0.491,0,-0.94,45.8,0.006,-7.48,1.58,0.295
P03066,D0615,0.388,0.337,0.901,640.75,0.423,-2.25,5.99,0.719,0,-1.14,20.9,0.044,-0.35,4.35,0.39
P08065,D0553,0.078,0.663,-0.091,675.25,0.891,6.8,8.87,0.28,0,-1.69,58.9,0.821,-5.27,4.7,0.483
P08993,D0129,0.036,0.566,-0.393,478.27,0.584,-0.96,4.11,0.379,0,-0.65,66.2,0.29,-6.88,3.77,0.217
P09582,D0826,0.994,0.605,-0.26,169.91,0.372,-1.51,5.31,0.083,1,-1.69,66.4,0.187,-7.61,0.89,0.603
P02072,D0279,0.646,0.475,0.786,684.77,0.495,-2.19,6.9,0.707,0,-0.26,57.0,0.419,-0.58,0.45,0.668
P02028,D0568,0.268,0.529,0.997,389.86,0.363,2.1,6.82,0.446,0,-1.18,68.8,0.512,-2.85,1.16,0.016
P04734,D0072,0.376,0.569,-0.237,809.12,0.769,-2.32,4.95,0.537,0,1.02,58.2,0.139,-2.08,4.57,0.189
P07478,D0988,0.707,0.386,0.929,466.24,0.019,5.78,6.23,0.3,0,-0.54,64.2,0.621,-3.54,1.82,0.429
P07503,D0954,0.145,0.564,0.011,746.8,0.498,-0.98,4.11,0.389,0,0.25,24.1,0.87,0.73,4.12,0.632
P00005,D0287,0.425,0.327,-0.927,425.4,0.247,6.17,7.96,0.155,0,1.1,47.4,0.456,-9.44,4.51,0.605
P04879,D0961,0.863,0.722,-0.595,428.13,0.232,5.58,4.66,0.035,1,-0.69,14.7,0.814,-3.51,0.25,0.084
P03189,D0596,0.271,0.435,-0.226,721.92,0.185,-2.6,4.83,0.626,0,-0.84,23.3,0.25,-0.23,4.55,0.202
P07388,D0051,0.173,0.528,-0.292,554.64,0.501,2.76,6.16,0.055,0,-1.58,41.4,0.797,-8.91,3.1,0.414
P01139,D0475,0.885,0.409,0.626,342.26,0.107,-1.18,8.17,0.536,0,-1.92,33.4,0.081,-2.12,3.01,0.886
P03137,D0158,0.95,0.332,0.575,779.62,0.52,-1.64,6.06,0.051,1,0.19,64.4,0.514,-7.73,1.65,0.79
P05535,D0129,0.88,0.695,-0.747,622.45,0.603,2.16,6.43,0.744,1,0.26,14.9,0.563,0.55,0.53,0.428
P04678,D0420,0.922,0.54,-0.886,625.84,0.899,-1.09,4.2,0.058,1,-0.47,46.5,0.244,-3.58,3.64,0.911
P08866,D0594,0.408,0.154,0.42,737.84,0.765,1.52,6.19,0.952,0,-0.72,28.4,0.153,-5.35,1.38,0.765
P01727,D0578,0.468,0.27,-0.149,622.87,0.65,-2.47,8.6,0.456,0,1.89,22.4,0.33,-9.03,2.41,0.554
P02489,D0512,0.621,0.481,-0.657,343.6,0.807,1.71,4.28,0.267,0,-1.71,8.5,0.438,-0.34,1.37,0.104
P02551,D0288,0.059,0.592,-0.827,157.75,0.352,-1.3,5.69,0.161,0,-1.22,51.4,0.478,-6.4,2.43,0.455
P04331,D0486,0.682,0.498,-0.572,741.5,0.532,-1.84,6.83,0.493,0,1.02,31.1,0.44,-3.47,2.13,0.774
P00873,D0546,0.543,0.553,0.917,868.03,0.086,-2.16,7.95,0.592,0,-1.15,60.5,0.405,-2.54,2.9,0.101
P04691,D0736,0.937,0.331,-0.826,689.56,0.523,3.38,8.08,0.05,1,0.85,55.9,0.546,-3.33,3.13,0.118
P00203,D0204,0.544,0.785,0.102,769.61,0.389,-2.35,4.23,0.933,0,1.75,32.0,0.893,-7.97,1.91,0.863
P03966,D0291,0.991,0.463,-0.948,797.84,0.913,2.82,8.53,0.392,1,0.89,19.2,0.518,-8.95,3.49,0.316
P04859,D0390,0.969,0.552,0.807,339.69,0.302,-2.21,6.43,0.788,0,1.22,57.3,0.98,-6.47,2.74,0.782
P06681,D0162,0.402,0.321,0.024,417.65,0.687,1.92,4.12,0.358,0,1.15,7.5,0.333,-8.71,1.25,0.226
P04902,D0606,0.034,0.482,0.875,700.49,0.688,-0.7,6.52,0.412,0,-0.38,30.6,0.278,-2.49,0.74,0.564
P05406,D0450,0.808,0.711,-0.351,479.59,0.713,-1.58,8.37,0.06,1,-1.37,56.5,0.623,-3.41,1.77,0.803
P00744,D0210,0.853,0.565,-0.19,627.65,0.681,6.6,5.01,0.373,1,-1.17,12.8,0.298,0.94,4.55,0.095
P07688,D0670,0.553,0.315,0.499,351.9,0.883,0.48,8.39,0.266,0,1.74,37.5,0.499,-7.68,2.33,0.561
P06660,D0547,0.733,0.64,0.884,686.18,0.596,0.24,6.81,0.784,0,-1.68,56.6,0.162,-2.13,3.73,0.465
P00579,D0940,0.477,0.351,-0.72,595.61,0.855,6.72,4.9,0.215,0,-0.5,2.7,0.302,-4.34,3.66,0.446
P08933,D0139,0.633,0.125,-0.204,868.22,0.674,4.54,6.51,0.964,0,0.5,53.9,0.654,-6.89,4.73,0.389
P02266,D0987,0.512,0.507,0.941,842.63,0.881,2.96,5.95,0.729,0,-1.3,19.8,0.988,-4.73,0.52,0.622
P05562,D0606,0.48,0.213,-0.348,570.94,0.729,-1.03,7.57,0.573,0,-1.45,55.0,0.331,-0.17,3.61,0.666
P02171,D0958,0.82,0.538,0.874,338.76,0.458,3.25,6.93,0.435,0,0.47,30.7,0.381,-5.71,3.97,0.651
P06147,D0438,0.179,0.168,0.24,441.83,0.271,4.94,6.99,0.645,0,1.49,2.6,0.438,-5.84,4.41,0.119
P02598,D0845,0.425,0.398,-0.039,703.66,0.909,5.65,6.74,0.958,0,1.68,41.1,0.094,-0.87,2.67,0.334
P00980,D0478,0.674,0.698,-0.336,466.2,0.132,5.66,7.68,0.986,0,0.74,46.4,0.352,-6.07,0.71,0.467
P02274,D0658,0.986,0.631,0.018,766.7,0.87,-2.07,5.11,0.031,1,0.86,13.2,0.838,-6.45,0.45,0.96
P06400,D0554,0.572,0.608,0.308,329.05,0.652,-0.2,7.08,0.531,0,1.75,37.2,0.877,-7.34,0.58,0.679
P05647,D0644,0.55,0.601,0.421,728.4,0.61,1.81,5.24,0.488,0,-0.44,55.4,0.988,-2.43,1.13,0.482
P09475,D0724,0.508,0.684,-0.847,738.68,0.536,1.74,4.34,0.849,0,1.9,5.6,0.496,-0.35,0.41,0.641
P09926,D0034,0.052,0.266,0.281,288.19,0.292,1.87,7.68,0.87,0,-0.78,61.8,0.927,-1.53,1.64,0.749
P02774,D0786,0.651,0.838,0.785,216.25,0.608,6.38,5.24,0.645,0,-0.55,26.0,0.961,-2.97,3.55,0.561
P07381,D0272,0.964,0.515,-0.146,601.04,0.476,0.98,4.36,0.54,0,1.04,69.7,0.472,-6.52,3.22,0.896
P03458,D0943,0.723,0.333,-0.499,730.98,0.399,5.14,4.98,0.048,0,0.86,59.4,0.086,-7.26,3.88,0.388
P01658,D0655,0.32,0.421,0.399,853.27,0.641,1.76,8.96,0.834,0,-0.52,54.8,0.144,-4.38,2.15,0.758
P08517,D0624,0.657,0.384,-0.772,661.87,0.082,1.35,8.18,0.104,0,-1.81,12.2,0.641,-8.91,4.19,0.053
P05516,D0379,0.504,0.716,0.866,662.37,0.605,6.44,6.83,0.756,0,0.54,36.6,0.789,-5.24,2.95,0.24
P06239,D0068,0.667,0.638,0.026,475.23,0.998,-0.01,5.7,0.402,1,0.41,25.3,0.818,-3.25,1.81,0.493
P06197,D0728,0.998,0.654,0.323,387.65,0.043,0.0,5.71,0.54,0,1.53,57.5,0.334,-0.73,0.42,0.974
P00783,D0736,0.61,0.673,-0.295,466.82,0.475,5.44,5.79,0.159,0,-0.8,24.5,0.938,-5.93,1.27,0.733
P04374,D0927,0.019,0.664,-0.14,672.56,0.454,1.46,8.92,0.065,0,1.65,49.4,0.074,-7.65,2.14,0.022
P03164,D0621,0.254,0.5,0.154,887.73,0.074,3.1,7.78,0.872,0,0.29,32.9,0.754,-4.14,1.71,0.737
P02959,D0006,0.423,0.609,0.974,664.11,0.493,-2.33,5.76,0.142,0,-1.13,55.5,0.879,-4.81,1.42,0.197
P00495,D0104,0.07,0.678,0.405,584.57,0.15,2.24,4.09,0.199,0,-0.43,12.6,0.961,-6.21,1.02,0.779
P01116,D0234,0.463,0.615,0.87,458.78,0.822,2.44,5.32,0.033,1,-1.2,22.7,0.043,-8.32,3.6,0.88
P07020,D0271,0.452,0.497,0.911,440.92,0.9,3.26,5.04,0.319,0,-0.16,10.9,0.334,-1.74,2.46,0.799
P07344,D0417,0.877,0.54,0.562,474.16,0.824,-2.15,5.05,0.347,1,-0.11,41.7,0.381,-6.94,3.54,0.221
P09502,D0186,0.289,0.595,-0.918,519.96,0.928,5.62,8.75,0.408,0,1.17,26.7,0.062,-4.23,2.79,0.656
P07090,D0083,0.408,0.281,-0.459,474.63,0.647,1.2,5.21,0.563,0,0.97,56.7,0.456,-7.97,1.28,0.986
P05719,D0890,0.236,0.366,0.614,805.9,0.844,-0.04,4.81,0.822,0,0.33,20.8,0.806,0.64,4.4,0.954
P00586,D0092,0.8,0.478,-0.973,163.07,0.499,2.76,8.16,0.59,0,0.19,43.9,0.818,-1.08,0.32,0.998
P05817,D0791,0.791,0.775,-0.029,572.02,0.79,2.43,8.1,0.683,1,0.76,39.4,0.708,-1.87,4.21,0.54
P00702,D0813,0.945,0.424,0.533,783.12,0.947,-1.13,6.16,0.572,1,-1.41,51.7,0.735,-5.14,3.65,0.346
P08070,D0296,0.832,0.85,0.862,476.93,0.381,0.05,7.14,0.826,0,0.34,52.8,0.601,-0.11,4.8,0.427
P07519,D0549,0.807,0.3,-0.118,803.03,0.834,3.92,8.91,0.439,1,1.64,65.8,0.869,-9.87,1.44,0.09
P07476,D0157,0.236,0.51,0.658,598.8,0.474,-0.89,8.75,0.325,0,-0.78,42.9,0.682,-3.32,0.72,0.678
P06844,D0017,0.684,0.779,-0.087,357.88,0.613,1.71,5.36,0.58,0,-1.91,51.2,0.384,-5.74,3.2,0.23
P06581,D0018,0.042,0.543,-0.715,312.27,0.883,5.74,6.0,0.409,0,-1.98,69.5,0.771,-9.59,3.15,0.802
P08388,D0302,0.022,0.409,-0.086,183.06,0.881,-2.75,5.54,0.463,0,-1.87,51.7,0.841,-7.42,4.17,0.951
P09127,D0071,0.304,0.593,-0.116,677.76,0.742,5.39,4.98,0.504,0,0.99,71.1,0.12,-8.31,2.25,0.365
P09887,D0585,0.869,0.368,0.049,638.1,0.313,5.65,5.1,0.469,0,1.46,42.6,0.902,-5.05,3.03,0.659
P02660,D0914,0.275,0.554,0.861,737.17,0.087,4.2,7.09,0.268,0,-1.99,71.1,0.292,-0.8,3.12,0.825
P02176,D0029,0.929,0.215,0.236,866.82,0.987,3.03,6.72,0.398,1,0.77,13.9,0.673,-7.19,0.47,0.235
P09954,D0282,0.221,0.477,-0.82,396.46,0.568,1.62,8.1,0.954,0,-0.79,45.0,0.266,-2.97,0.85,0.226
P03056,D0433,0.047,0.454,-0.139,331.79,0.111,3.67,5.9,0.415,0,-0.44,26.3,0.427,-7.58,1.69,0.083
P08806,D0548,0.594,0.507,-0.089,358.11,0.959,5.07,7.47,0.194,1,1.69,43.8,0.215,-7.67,0.65,0.293
P04227,D0772,0.817,0.62,0.652,566.31,0.457,-0.66,8.98,0.04,1,0.75,4.8,0.235,-8.3,2.41,0.889
P00693,D0542,0.57,0.573,0.034,499.05,0.962,6.1,6.23,0.535,0,0.14,23.5,0.481,-4.56,4.86,0.105
P03316,D0975,0.505,0.46,-0.135,217.16,0.365,-0.15,6.95,0.67,0,-0.05,2.4,0.206,-5.7,2.57,0.286
P08218,D0328,0.439,0.586,-0.731,314.52,0.909,-2.86,7.41,0.509,0,0.24,35.6,0.423,-8.18,4.62,0.854
P02162,D0303,0.716,0.805,0.56,566.67,0.853,3.89,7.13,0.644,1,-1.07,37.6,0.663,-6.02,0.73,0.832
P01077,D0328,0.966,0.277,0.543,880.93,0.471,6.17,5.08,0.354,1,0.74,36.2,0.338,-8.3,1.3,0.109
P00013,D0428,0.314,0.415,-0.599,722.92,0.312,5.67,6.91,0.068,0,-1.52,65.7,0.85,-5.77,2.49,0.723
P00834,D0215,0.343,0.751,0.321,887.23,0.74,-1.1,4.15,0.42,0,1.18,31.5,0.364,-2.64,2.67,0.371
P06841,D0585,0.067,0.335,-0.832,690.79,0.85,6.52,8.21,0.517,0,-1.01,16.0,0.933,-0.1,3.19,0.045
P07524,D0572,0.165,0.29,0.156,890.48,0.043,6.4,6.22,0.76,0,-2.0,60.9,0.708,-6.36,1.18,0.05
P04403,D0814,0.526,0.305,0.086,337.25,0.225,3.53,6.39,0.922,0,0.97,67.1,0.241,-7.35,1.18,0.328
P04208,D0607,0.315,0.41,-0.75,836.51,0.43,-0.44,4.42,0.723,0,1.32,15.8,0.429,-6.16,3.57,0.824
P01422,D0416,0.82,0.509,0.325,651.45,0.208,1.18,4.78,0.596,0,1.03,17.6,0.021,-5.71,3.49,0.857
P04007,D0041,0.622,0.271,-0.826,598.53,0.271,2.35,5.88,0.152,0,-0.84,11.0,0.162,-4.85,4.32,0.87
P01315,D0631,0.731,0.623,0.626,676.18,0.515,2.27,8.38,0.013,1,-1.35,55.9,0.585,-5.73,0.9,0.184
P04219,D0036,0.442,0.694,-0.696,576.91,0.383,2.8,4.7,0.286,0,-1.93,64.4,0.715,0.17,3.94,0.58
P01267,D0599,0.1,0.495,-0.147,420.25,0.934,-0.44,5.76,0.152,0,-1.68,58.2,0.125,-5.96,2.64,0.084
P01365,D0789,0.562,0.4,0.702,760.17,0.842,-1.09,8.33,0.165,0,-0.47,29.2,0.332,-9.49,1.66,0.844
P06103,D0643,0.259,0.641,-0.871,428.64,0.208,6.75,7.8,0.869,0,-0.86,13.0,0.451,-1.53,4.45,0.917
P07773,D0826,0.522,0.479,0.602,472.97,0.948,-1.77,5.78,0.906,0,1.69,68.5,0.347,-5.46,3.38,0.734
P00635,D0953,0.112,0.423,0.495,741.5,0.217,0.25,4.49,0.954,0,-1.09,22.1,0.669,-2.8,3.19,0.095
P06483,D0254,0.779,0.474,-0.417,880.54,0.597,6.7,6.79,0.087,1,0.08,66.0,0.801,-3.36,3.04,0.278
P06927,D0580,0.399,0.352,0.791,385.47,0.307,4.22,5.24,0.104,0,1.83,52.0,0.197,-0.7,3.59,0.789
P01939,D0122,0.665,0.423,0.83,884.79,0.285,2.63,6.97,0.251,0,-0.26,66.3,0.448,-1.86,3.17,0.551
P01244,D0662,0.492,0.644,0.463,816.0,0.54,-2.86,4.07,0.959,0,1.6,49.0,0.561,-7.66,4.73,0.142
P09292,D0467,0.467,0.632,0.654,298.57,0.947,5.72,5.42,0.191,1,1.11,13.4,0.978,-0.97,2.2,0.994
P06518,D0933,0.382,0.567,-0.71,270.43,0.419,4.64,4.98,0.692,0,-0.65,33.5,0.545,-4.61,4.73,0.562
P07266,D0704,0.483,0.675,-0.116,763.93,0.281,-1.99,7.62,0.226,0,0.7,11.3,0.013,-6.41,3.15,0.111
P08795,D0923,0.613,0.604,0.94,199.89,0.25,5.1,7.71,0.787,0,-0.82,16.7,0.726,-5.44,1.04,0.309
P00081,D0037,0.224,0.677,-0.809,888.37,0.309,-0.38,7.8,0.667,0,-0.77,25.8,0.029,0.51,1.69,0.935
P09044,D0751,0.714,0.471,-0.168,303.94,0.445,5.09,8.87,0.557,0,0.76,11.5,0.188,-9.38,2.74,0.399
P01045,D0941,0.486,0.688,0.924,167.74,0.873,5.43,7.06,0.588,0,0.17,22.7,0.249,0.27,0.59,0.412
P09825,D0826,0.617,0.667,0.172,648.57,0.315,1.34,8.22,0.981,0,-1.97,7.8,0.66,0.38,3.5,0.708
P08006,D0437,0.473,0.642,-0.942,577.25,0.272,-2.2,6.99,0.26,0,1.28,4.4,0.814,-8.41,3.21,0.554
P00249,D0016,0.164,0.466,0.704,833.42,0.574,2.6,6.0,0.543,0,-1.59,11.7,0.396,-5.67,2.89,0.277
P07073,D0221,0.328,0.347,-0.354,253.08,0.591,2.54,7.95,0.568,0,0.55,16.1,0.465,-1.29,3.38,0.585
P03177,D0462,0.341,0.447,-0.928,289.24,0.446,5.05,6.19,0.143,0,0.54,20.6,0.734,0.52,4.64,0.085
P08239,D0068,0.405,0.369,0.662,697.73,0.191,-2.07,8.74,0.189,0,-0.96,44.3,0.866,-7.42,1.06,0.164
P07063,D0038,0.319,0.253,0.491,443.2,0.191,3.99,4.1,0.637,0,-1.98,15.9,0.931,-9.39,4.48,0.875
P09905,D0035,0.675,0.454,0.062,621.38,0.52,5.44,7.16,0.415,0,0.77,63.5,0.034,-2.73,0.31,0.152
P02459,D0513,0.994,0.528,-0.274,176.15,0.285,2.28,8.79,0.981,0,1.96,6.5,0.898,-9.19,3.39,0.693
P08247,D0912,0.706,0.525,0.517,755.66,0.153,0.12,5.67,0.214,0,0.21,56.3,0.692,-7.74,3.58,0.346
P05763,D0694,0.959,0.82,0.196,347.58,0.026,-0.55,4.67,0.456,0,1.58,57.5,0.202,-5.26,1.93,0.695
P09010,D0710,0.738,0.362,-0.529,549.74,0.134,0.14,5.43,0.078,0,1.14,26.9,0.95,-3.84,4.68,0.448
P01834,D0977,0.587,0.258,0.759,670.73,0.831,5.95,4.41,0.123,1,-0.16,45.6,0.161,-4.85,1.02,0.007
P01972,D0076,0.706,0.623,0.068,274.55,0.156,3.97,5.7,0.525,0,0.17,43.2,0.375,-0.86,4.48,0.323
P03718,D0381,0.817,0.74,0.716,209.14,0.003,3.65,7.48,0.5,0,0.72,65.1,0.455,-5.75,1.47,0.692
P01699,D0695,0.834,0.602,-0.835,150.32,0.391,-2.29,8.01,0.765,0,1.05,70.3,0.454,-4.32,3.23,0.162
P07195,D0149,0.128,0.555,-0.541,193.32,0.928,3.13,6.91,0.235,0,-1.2,23.7,0.823,-4.49,1.3,0.682
P03723,D0563,0.625,0.548,-0.372,833.17,0.522,5.6,7.59,0.067,0,-0.55,37.4,0.85,-7.77,4.15,0.847
P06894,D0791,0.16,0.329,0.691,539.44,0.01,-1.08,4.25,0.241,0,0.75,10.5,0.031,-5.89,0.8,0.135
P00078,D0420,0.73,0.672,0.744,198.57,0.709,-0.4,4.98,0.679,0,-0.29,54.5,0.891,0.14,3.04,0.233
P08425,D0993,0.006,0.569,0.542,897.34,0.401,6.75,5.93,0.693,0,0.2,67.1,0.571,-4.81,4.57,0.502
P08102,D0426,0.641,0.354,0.165,217.9,0.769,2.46,8.33,0.37,0,0.9,9.1,0.801,-8.72,0.6,0.109
P03304,D0382,0.049,0.311,-0.089,838.63,0.597,4.09,5.6,0.468,0,-1.71,54.5,0.618,-3.42,4.84,0.933
P08994,D0469,0.901,0.565,-0.811,314.35,0.139,0.38,4.28,0.986,0,1.8,36.5,0.155,-4.86,2.28,0.983
P05662,D0495,0.744,0.372,0.311,677.02,0.472,-0.3,5.07,0.883,0,1.07,69.7,0.847,-3.65,0.44,0.569
P07395,D0963,0.921,0.499,0.671,324.94,0.555,-2.47,7.79,0.57,0,-0.72,7.1,0.895,0.4,4.93,0.297
P03131,D0649,0.485,0.558,0.718,894.07,0.5,-0.93,7.9,0.317,0,1.73,63.4,0.473,-3.88,2.76,0.319
P03333,D0900,0.003,0.37,-0.518,284.62,0.788,3.41,6.98,0.858,0,-0.81,41.9,0.92,-1.24,2.07,0.42
P00800,D0821,0.934,0.585,0.174,412.98,0.85,0.11,8.95,0.598,1,1.97,42.9,0.786,-4.24,3.89,0.861
P02721,D0254,0.269,0.516,0.887,252.2,0.667,-1.48,7.22,0.856,0,-0.1,8.1,0.67,-4.39,0.24,0.811
P03697,D0657,0.335,0.53,0.707,521.15,0.037,-2.11,5.19,0.686,0,-0.17,21.3,0.53,-1.3,3.07,0.9
P04537,D0306,0.553,0.399,-0.685,472.3,0.352,5.62,7.0,0.342,0,0.3,22.4,0.756,-6.09,3.19,0.925
P03393,D0183,0.217,0.443,-0.216,760.24,0.369,1.84,4.23,0.782,0,1.74,13.8,0.657,-4.58,3.15,0.331
P00652,D0853,0.96,0.788,-0.804,790.79,0.222,0.85,7.31,0.45,0,1.93,22.1,0.28,-2.35,2.9,0.715
P03262,D0132,0.13,0.715,0.666,793.62,0.428,-1.07,8.69,0.176,0,-1.11,15.8,0.834,0.23,1.91,0.207
P09344,D0956,0.334,0.29,0.214,177.56,0.188,1.81,7.28,0.681,0,-1.08,39.6,0.53,-3.24,4.14,0.673
P06513,D0638,0.962,0.618,0.401,284.96,0.756,6.18,7.17,0.59,1,-0.39,25.5,0.42,-3.76,4.33,0.56
P01774,D0728,0.991,0.371,-0.671,629.32,0.834,0.94,6.89,0.567,1,1.31,33.3,0.978,-7.63,0.74,0.317
P07648,D0738,0.642,0.467,0.452,601.33,0.934,-2.31,7.29,0.55,0,0.52,29.5,0.764,-6.85,3.88,0.081
P06738,D0658,0.785,0.304,-0.549,754.9,0.014,4.61,8.49,0.438,0,-1.44,27.5,0.921,-6.61,4.28,0.358
P03226,D0817,0.577,0.453,0.946,731.1,0.539,-0.7,4.22,0.93,0,0.09,2.4,0.693,-2.04,4.21,0.398
P02596,D0455,0.464,0.448,0.75,311.81,0.209,4.12,4.23,0.987,0,1.35,46.0,0.06,-2.16,1.66,0.875
P01860,D0463,0.346,0.344,-0.968,407.95,0.531,4.42,4.18,0.814,0,-1.9,48.3,0.287,-7.26,1.4,0.92
P07892,D0160,0.235,0.379,0.347,574.27,0.071,5.06,8.87,0.63,0,-0.27,51.0,0.475,-9.66,1.87,0.95
P07703,D0592,0.266,0.451,-0.326,797.07,0.765,-0.83,4.09,0.77,0,-1.53,54.3,0.35,-9.05,1.88,0.282
P08970,D0695,0.487,0.585,0.369,543.91,0.295,-1.47,5.46,0.824,0,-0.11,50.3,0.075,-2.73,2.55,0.866
P07593,D0441,0.943,0.438,-0.647,667.76,0.567,0.24,8.68,0.236,1,-1.86,32.4,0.381,-2.95,0.41,0.785
P05043,D0938,0.87,0.567,-0.454,439.22,0.797,3.85,8.51,0.4,1,0.12,19.1,0.939,-0.57,2.64,0.93
P04036,D0596,0.327,0.217,-0.907,223.0,0.434,6.49,4.57,0.922,0,1.77,38.1,0.322,-9.6,2.34,0.597
P04392,D0648,0.952,0.407,-0.263,481.56,0.993,3.72,7.73,0.273,1,-0.62,71.5,0.531,-9.29,0.83,0.045
P06877,D0683,0.158,0.417,0.207,269.7,0.805,6.81,7.65,0.858,0,-0.77,19.9,0.97,-0.73,2.73,0.631
P04966,D0242,0.543,0.523,0.735,418.75,0.424,3.23,7.44,0.573,0,1.28,36.8,0.339,-1.62,3.16,0.675
P03507,D0967,0.689,0.558,-0.578,377.27,0.705,6.63,8.09,0.679,0,-1.18,22.9,0.28,0.63,1.67,0.525
P04816,D0646,0.942,0.379,0.757,334.01,0.67,4.24,7.79,0.809,0,-0.5,27.6,0.453,-6.17,1.26,0.057
P04538,D0665,0.235,0.609,0.606,664.19,0.043,0.42,8.72,0.905,0,1.84,35.3,0.909,-0.76,0.15,0.939
P07991,D0690,0.308,0.604,0.296,300.65,0.371,3.81,8.79,0.632,0,0.62,52.2,0.609,-6.39,2.6,0.101
P00508,D0246,0.117,0.578,0.722,657.81,0.526,-1.25,5.81,0.623,0,0.71,56.3,0.321,-1.56,0.34,0.007
P04981,D0774,0.336,0.414,-0.348,179.11,0.415,1.16,4.67,0.731,0,0.27,12.6,0.789,-2.73,2.58,0.428
P05371,D0906,0.838,0.316,0.884,655.75,0.182,0.46,8.74,0.179,0,-1.7,54.3,0.561,-3.31,3.86,0.309
